导出信息：
京东账号名：jd_69f20ead52529
申请时间：2026-06-13 17:15:12
日期区间：2026-01-01 至 2026-06-13
导出交易类型：全部
导出交易场景：全部
共：76笔记录
收入：14笔，3896.74元
支出：45笔(含3笔部分退款)，3763.15元
不计收支：17笔，2292.30元

特别提示
1.本明细为每笔订单支付的明细，不包括已删除的记录；如需计算白条相关费用明细，请访问“白条-查账还款”进行查看；
2.个人资金互转、全额退款等记为【不计收支】类，部分退款的支出金额为剔除退款后的支付金额；
3.因系统原因或通讯故障等偶发因素导致本明细与实际交易结果不符时，以实际交易情况为准；
4.因统计逻辑不同，明细金额直接累加后，可能会和上方统计金额不一致，请以实际交易金额为准；
5.京东快捷支付等非余额支付方式可能既产生京东交易也同步产生银行交易，因此请勿使用本回单进行重复记账；
6.明细如经任何涂改、编造，均立即失去效力；
7.禁止将本回单用于非法用途；
8.本明细仅供个人对账使用。

交易时间,商户名称,交易说明,金额,收/付款方式,交易状态,收/支,交易分类,交易订单号,商家订单号,备注
2026-06-11 12:22:23	,京东平台商户,迈从（MCHOSE）K99 V3客制化机械键盘无线蓝牙有线三模99键配列全键热插拔电竞游戏办公笔记本ipad通用带数字键区 K99 V3 鎏金黑 琉光冰淇淋轴【三模+旋钮】,341.05,微信支付,交易成功,支出,电脑办公,3526458013789755	,6183552606111222100814013843	, ,
2026-06-07 11:25:46	,京东外卖,京东品牌饭卡 等多件,73.83,中信银行储蓄卡(9573),交易成功,支出,食品酒饮 其他网购,3522258001714294	,1313552606071125450879201362	, ,
2026-06-03 09:23:00	,京东平台商户,洁柔抽纸 艺术油画系列 擦手纸巾4层80抽餐巾纸可湿水面巾纸 油画 4层 80抽*4包,3.00,中信银行储蓄卡(9573),交易成功,支出,清洁纸品,3518458000085047	,1313252606030923000522096968	, ,
2026-06-01 18:09:16	,京东平台商户,有棵树男士袜子男短袜夏季纯色低帮浅口7A抗菌防臭吸汗透气男士短袜 【男款】草木灰+草木灰+白色+白色+奶茶灰 5双 均码,15.80,余额,交易成功,支出,服饰内衣,3516458010548725	,1864332606011809160807836952	, ,
2026-05-31 00:27:28	,京东平台商户,有棵树男士内裤男纯棉10A抗菌裆男生冰丝内裤平角裤透气四角裤男款短裤 【薄荷凉感冰丝】灰蓝色+砂黑色+墨灰色 3条 XL （125斤-140斤）,19.90,中信银行储蓄卡(9573),交易成功,支出,服饰内衣,3515458019936921	,1313442605310027280404184388	, ,
2026-05-31 00:17:46	,京东平台商户,泰摩栗子C5手摇磨豆机 家用手动咖啡豆研磨机 磨豆器礼物 C5-中国红【全能版】,253.50,余额（含发票奖金10.00）,交易成功,支出,日用百货,3515458019942471	,1863802605310017450959386257	, ,
2026-05-24 10:42:20	,京东平台商户,伊利安慕希丹东草莓酸奶230g*10瓶/箱  礼盒装,0.10,中信银行储蓄卡(9573),交易成功,支出,其他网购,3508258006070179	,1313792605241042200632739020	, ,
2026-05-24 10:29:31	,京东平台商户,退款-伊利安慕希丹东草莓酸奶230g*10瓶/箱  礼盒装,0.10,中信银行储蓄卡(9573),退款成功,不计收支,网购,3508258017649579	,2605241019763457154	, ,
2026-05-24 10:29:04	,京东平台商户,伊利安慕希丹东草莓酸奶230g*10瓶/箱  礼盒装,0.10(已全额退款),中信银行储蓄卡(9573),交易成功,不计收支,其他网购,3508258017649579	,1311062605241029030827565888	, ,
2026-05-24 10:25:13	,京东平台商户,退款-伊利安慕希丹东草莓酸奶230g*10瓶/箱  礼盒装,0.10,中信银行储蓄卡(9573),退款成功,不计收支,网购,3508258006062282	,2605241019763417444	, ,
2026-05-24 10:24:40	,京东平台商户,伊利安慕希丹东草莓酸奶230g*10瓶/箱  礼盒装,0.10(已全额退款),中信银行储蓄卡(9573),交易成功,不计收支,其他网购,3508258006062282	,1311032605241024390081270618	, ,
2026-05-24 10:20:10	,京东平台商户,退款-伊利安慕希丹东草莓酸奶230g*10瓶/箱  礼盒装,0.10,中信银行储蓄卡(9573),退款成功,不计收支,网购,3508258017644571	,2605241019763373704	, ,
2026-05-24 10:20:09	,京东平台商户,伊利安慕希丹东草莓酸奶230g*10瓶/箱  礼盒装,0.10(已全额退款),中信银行储蓄卡(9573),交易成功,不计收支,其他网购,3508258017644571	,1313312605241020090675674483	, ,
2026-05-24 10:18:51	,京东平台商户,退款-伊利安慕希丹东草莓酸奶230g*10瓶/箱  礼盒装,0.10,中信银行储蓄卡(9573),退款成功,不计收支,网购,3508258006057477	,2605241019763359800	, ,
2026-05-24 10:17:10	,京东平台商户,伊利安慕希丹东草莓酸奶230g*10瓶/箱  礼盒装,0.10(已全额退款),中信银行储蓄卡(9573),交易成功,不计收支,其他网购,3508258006057477	,1314192605241017100376461254	, ,
2026-05-23 09:56:44	,京东商城业务,京东PLUS会员自动续费及支付,99.00,中信银行储蓄卡(9573),自动扣款成功,支出,其他,349408948705	,63233412605230956440768862082	, ,
2026-05-22 10:23:36	,京东平台商户,黄天鹅即食溏心蛋卤味2枚营养早餐鸡蛋健康轻食80g源头直发,0.01,中信银行储蓄卡(9573),交易成功,支出,其他网购,330892202815	,1313852605221023351000679856	, ,
2026-05-21 23:04:44	,宿迁京孚泰大数据信息技术有限公司,宿迁京孚泰大数据信息技术有限公司,188.50,余额,交易成功,收入,其他,JRPPF_5277570478190593	,JRPPF_5277570478190593	, ,
2026-05-21 23:04:36	,网银在线（北京）科技有限公司,联盟POP佣金结算,223.37,余额,交易成功,收入,其他,PAY_202605212304361658787	,PAY_202605212304361658787	, ,
2026-05-20 17:05:38	,京东支付,发票抽奖现金,0.01,余额,交易成功,收入,其他,202605201705370481405	,0mpdu6vafE0075ft318055rSa	, ,
2026-05-18 23:44:34	,京东平台商户,维艾（Newair）保鲜盒316不锈钢食品级饭盒冰箱盒子密封碗家用水果盒便当盒,12.71,中信银行储蓄卡(9573),交易成功,支出,日用百货,3502258015909436	,1313522605182344340978181607	, ,
2026-05-18 09:09:38	,广州有奖发票活动,有奖发票奖金,10.00,发票奖金,交易成功,收入,其他,20260518886813297807200659	,202605182056180067989479462bs	, ,
