支付宝交易记录明细查询
账号:[409219701@qq.com]
起始日期:[2026-01-01 00:00:00]    终止日期:[2026-06-13 21:12:04]
---------------------------------交易记录明细列表------------------------------------
交易号                  ,商家订单号               ,交易创建时间              ,付款时间                ,最近修改时间              ,交易来源地     ,类型              ,交易对方            ,商品名称                ,金额（元）   ,收/支     ,交易状态    ,服务费（元）   ,成功退款（元）  ,备注                  ,资金状态     ,
2026051723001410681459739868_ONP26061316360319015698007558956	,2001052605170103909536948015	,2026-06-13 16:36:13 ,                    ,2026-06-13 16:36:13 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,抖音电商商家          ,退款-抖音电商-订单编号6952923974830659392,19.90   ,不计收支    ,退款成功    ,0.00     ,0.00     ,                    ,已收入      ,
2026061323001410681408904847	,CN_V1_602644407014060415	,2026-06-13 14:53:51 ,2026-06-13 14:53:52 ,2026-06-13 14:53:51 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,菜鸟              ,菜鸟裹裹商家-寄件费_1088556485_LP00823261737039,3.90    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026061322001410681406391377	,17202606131047170000012764253810	,2026-06-13 10:47:27 ,2026-06-13 10:47:27 ,2026-06-13 10:47:28 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,小红书             ,小红书订单：P796870837210046171,191.34  ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026061322001410681406391378	,17202606131047170000012764273810	,2026-06-13 10:47:27 ,2026-06-13 10:47:27 ,2026-06-13 10:47:28 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,小红书             ,小红书订单：P796870837210046172,156.66  ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026061023001310681446336689	,T3901P3306820082107002176	,2026-06-10 10:17:47 ,                    ,2026-06-10 10:32:51 ,淘宝        ,即时到账交易          ,阿里**P           ,88VIP生活卡年卡          ,88.00   ,不计收支    ,交易关闭    ,0.00     ,0.00     ,                    ,         ,
2026060823001110681439463548	,T200P3307172016384093377	,2026-06-08 18:39:40 ,2026-06-08 18:39:46 ,2026-06-09 10:42:52 ,淘宝        ,支付宝担保交易         ,四川**选           ,川味酸辣粉方便速食红薯粉粗粉粉条四川手信优选早餐夜宵粉丝 等多件,107.20  ,支出      ,等待确认收货  ,0.00     ,0.00     ,                    ,已支出      ,
2026060622001410681426543804	,17202606062155200000053740293810	,2026-06-06 21:55:38 ,2026-06-06 21:55:38 ,2026-06-06 21:55:38 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,小红书             ,小红书订单：P796306120112046631,7.20    ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026060622001410681425518175	,17202606061258400000020886153810	,2026-06-06 12:58:46 ,2026-06-06 12:58:46 ,2026-06-06 12:58:46 ,其他（包括阿里巴巴和外部商家）,即时到账交易          ,小红书             ,小红书订单：P796273907307046871,276.40  ,支出      ,交易成功    ,0.00     ,0.00     ,                    ,已支出      ,
2026060623001110681421342058	,13100600726060697047151265562	,2026-06-06 10:50:39 ,2026-06-06 10:50:49 ,2026-06-06 11:32:23 ,淘宝        ,支付宝担保交易         ,淘宝闪购            ,永辉线上超市(大茂城店)        ,63.46   ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,         ,
2026060523001110681420975848	,13160600726060521229606265562	,2026-06-05 16:46:15 ,2026-06-05 16:46:27 ,2026-06-05 17:16:32 ,淘宝        ,支付宝担保交易         ,淘宝闪购            ,盒马鲜生(大茂城店)          ,49.50   ,不计收支    ,交易成功    ,0.00     ,0.00     ,                    ,         ,
